ORIGIN_CODE,DESTINATION_CODE,flows
87195dadeffffff,87194ad09ffffff,7
87195dadeffffff,87195dac8ffffff,7
87195dadeffffff,87194ad53ffffff,4
87195dadeffffff,87194e610ffffff,4
87195dadeffffff,87195dad5ffffff,4
87195dadeffffff,87194ad05ffffff,7
87195dadeffffff,87194e6a5ffffff,3
87195dadeffffff,87195da69ffffff,4
87195dadeffffff,87195db58ffffff,3
87195dadeffffff,87195dae0ffffff,7
87195dadeffffff,87194ada0ffffff,5
87195dadeffffff,87194ad30ffffff,4
87195dadeffffff,87194ac24ffffff,19
87195dadeffffff,87194ad04ffffff,5
87195dadeffffff,87195da72ffffff,4
87195dadeffffff,87194e60affffff,9
87195dadeffffff,87195da58ffffff,7
87195dadeffffff,87195dac4ffffff,7
87195dadeffffff,87195d364ffffff,6
87195dadeffffff,87194ac05ffffff,6
87195dadeffffff,87194e6ceffffff,3
87195dadeffffff,87195da6cffffff,7
87195dadeffffff,87195d368ffffff,3
87195dadeffffff,87194e633ffffff,3
87195dadeffffff,87194e6aaffffff,8
87195dadeffffff,87195da60ffffff,5
87195dadeffffff,87194e612ffffff,3
87195dadeffffff,87194ad82ffffff,7
87195dadeffffff,87194e68cffffff,7
87195dadeffffff,87194ad9effffff,6
87195dadeffffff,87195db4cffffff,3
87195dadeffffff,87194ac36ffffff,7
87195dadeffffff,87194e6e6ffffff,5
87195dadeffffff,87195da50ffffff,8
87195dadeffffff,87194ad14ffffff,3
87195dadeffffff,87195da52ffffff,7
87195dadeffffff,87195da46ffffff,8
87195dadeffffff,87195da08ffffff,3
87195dadeffffff,87194e6b1ffffff,5
87195dadeffffff,87194e614ffffff,3
87195dadeffffff,87195da6effffff,7
87195dadeffffff,87194e6deffffff,7
87195dadeffffff,87194aca0ffffff,6
87195dadeffffff,87194e682ffffff,7
87195dadeffffff,87194ad5cffffff,4
87195dadeffffff,87194e6d2ffffff,7
87195dadeffffff,87194aca5ffffff,3
87195dadeffffff,87194e60bffffff,3
87195dadeffffff,87194ada9ffffff,7
87195dadeffffff,87194ad76ffffff,7
87195dadeffffff,87194e68dffffff,8
87195dadeffffff,87194ac0cffffff,3
87195dadeffffff,87195da41ffffff,7
87195dadeffffff,87194ad2cffffff,7
87195dadeffffff,87194ad46ffffff,5
87195dadeffffff,87194aca3ffffff,3
87195dadeffffff,87194ad2dffffff,7
87195dadeffffff,87194ad1affffff,5
87195dadeffffff,87195da44ffffff,7
87195dadeffffff,87194e60effffff,7
87195dadeffffff,87194ad85ffffff,7
87195dadeffffff,87195dac3ffffff,4
87195dadeffffff,87195dac6ffffff,12
87195dadeffffff,87194ac32ffffff,5
87195dadeffffff,87194e6b6ffffff,7
87195dadeffffff,87195da4cffffff,4
87195dadeffffff,87195da5effffff,7
87195dadeffffff,87194ad15ffffff,6
87195dadeffffff,87194ac30ffffff,7
87195dadeffffff,87195da49ffffff,7
87195dadeffffff,87195da09ffffff,3
87195dadeffffff,87194e6c1ffffff,5
87195dadeffffff,87194e680ffffff,7
87195dadeffffff,87194e61cffffff,7
87195dadeffffff,87195d36affffff,3
87195dadeffffff,87195da74ffffff,16
87195dadeffffff,87194e600ffffff,3
87195dadeffffff,87195db5cffffff,3
87195dadeffffff,87194e6f5ffffff,7
87195dadeffffff,87194ac04ffffff,27
87195dadeffffff,87195dae1ffffff,7
87195dadeffffff,87195dadaffffff,3
87195dadeffffff,87195db41ffffff,3
87195dadeffffff,87195da40ffffff,7
87195dadeffffff,87194e6f4ffffff,6
87195dadeffffff,87195dacbffffff,7
87195dadeffffff,87194ac25ffffff,6
87195dadeffffff,87194adb0ffffff,6
87195dadeffffff,87195dae2ffffff,6
87195dadeffffff,87194ad8cffffff,7
87195dadeffffff,87194e6c6ffffff,7
87195dadeffffff,87194adb4ffffff,15
87195dadeffffff,87194e694ffffff,7
87195dadeffffff,87194ad20ffffff,7
87195dadeffffff,87194e60cffffff,3
87195dadeffffff,87194ac28ffffff,3
87195dadeffffff,87194e69affffff,5
87195dadeffffff,87194ad08ffffff,7
87195dadeffffff,87195da62ffffff,7
87195dadeffffff,87194ad8dffffff,7
87195dadeffffff,87194adacffffff,7
87195dadeffffff,87194e601ffffff,3
87195dadeffffff,87195da89ffffff,3
87195dadeffffff,87194ad50ffffff,3
87195dadeffffff,87194e6aeffffff,17
87195dadeffffff,87194ad94ffffff,12
87195dadeffffff,87195db4affffff,5
87195dadeffffff,87195da68ffffff,5
87195dadeffffff,87195dae9ffffff,7
87195dadeffffff,87194e696ffffff,7
87195dadeffffff,87195dad8ffffff,7
87195dadeffffff,87195da0bffffff,4
87195dadeffffff,87195dadbffffff,7
87195dadeffffff,87195db4effffff,4
87195dadeffffff,87194ad35ffffff,6
87195dadeffffff,87194e6e5ffffff,3
87195dadeffffff,87195dae6ffffff,2
87195dadeffffff,87194ad34ffffff,4
87195dadeffffff,87194ad0cffffff,7
87195dadeffffff,87194e683ffffff,6
87195dadeffffff,87194e6acffffff,4
87195dadeffffff,87194ad31ffffff,5
87195dadeffffff,87195d360ffffff,7
87195dadeffffff,87194e61bffffff,7
87195dadeffffff,87194e6d5ffffff,7
87195dadeffffff,87194ad12ffffff,5
87195dadeffffff,87195dad9ffffff,7
87195dadeffffff,87194ad11ffffff,6
87195dadeffffff,87194adb5ffffff,6
87195dadeffffff,87194ac01ffffff,5
87195dadeffffff,87194ac15ffffff,4
87195dadeffffff,87194e608ffffff,4
87195dadeffffff,87195d36effffff,5
87195dadeffffff,87195dac0ffffff,7
87195dadeffffff,87194ad83ffffff,5
87195dadeffffff,87195da65ffffff,7
87195dadeffffff,87194ada4ffffff,4
87195dadeffffff,87194ad1cffffff,7
87195dadeffffff,87194ad0affffff,16
87195dadeffffff,87195da70ffffff,3
87195dadeffffff,87195da43ffffff,6
87195dadeffffff,87194ac20ffffff,5
87195dadeffffff,87194e684ffffff,7
87195dadeffffff,87194e69dffffff,5
87195dadeffffff,87195dae3ffffff,7
87195dadeffffff,87194ada6ffffff,5
87195dadeffffff,87195d36dffffff,7
87195dadeffffff,87194ad52ffffff,7
87195dadeffffff,87194e690ffffff,16
87195dadeffffff,87194ad5effffff,6
87195dadeffffff,87195da8dffffff,3
87195dadeffffff,87194ad64ffffff,2
87195dadeffffff,87194adabffffff,6
87195dadeffffff,87194e6d6ffffff,7
87195dadeffffff,87195db69ffffff,3
87195dadeffffff,87194ac14ffffff,5
87195dadeffffff,87195dad0ffffff,3
87195dadeffffff,87195dad4ffffff,5
87195dadeffffff,87194ac23ffffff,7
87195dadeffffff,87194e6c3ffffff,12
87195dadeffffff,87194e6a8ffffff,7
87195dadeffffff,87194ad0effffff,8
87195dadeffffff,87194ada2ffffff,7
87195dadeffffff,87194ad22ffffff,6
87195dadeffffff,87194ad1effffff,5
87195dadeffffff,87194e693ffffff,1
87195dadeffffff,87194e6b3ffffff,9
87195dadeffffff,87194ad95ffffff,7
87195dadeffffff,87195da42ffffff,12
87195dadeffffff,87195daeeffffff,6
87195dadeffffff,87194ac22ffffff,7
87195dadeffffff,87194ad10ffffff,5
87195dadeffffff,87194ad25ffffff,7
87195dadeffffff,87194ac06ffffff,5
87195dadeffffff,87195da48ffffff,4
87195dadeffffff,87194ad1dffffff,7
87195dadeffffff,87194ada3ffffff,7
87195dadeffffff,87195daf5ffffff,3
87195dadeffffff,87194ad2bffffff,7
87195dadeffffff,87194ac35ffffff,7
87195dadeffffff,87194ad99ffffff,7
87195dadeffffff,87194e618ffffff,7
87195dadeffffff,87194ac0effffff,3
87195dadeffffff,87195daf3ffffff,4
87195dadeffffff,87195daeaffffff,6
87195dadeffffff,87195da75ffffff,7
87195dadeffffff,87195da64ffffff,6
87195dadeffffff,87194e68bffffff,7
87195dadeffffff,87195da45ffffff,7
87195dadeffffff,87194ad66ffffff,4
87195dadeffffff,87195da4affffff,4
87195dadeffffff,87194ad13ffffff,6
87195dadeffffff,87195dadeffffff,1915
87195dadeffffff,87195da53ffffff,7
87195dadeffffff,87194adb3ffffff,7
87195dadeffffff,87195dac5ffffff,7
87195dadeffffff,87194ad03ffffff,7
87195dadeffffff,87195da61ffffff,7
87195dadeffffff,87194ad32ffffff,6
87195dadeffffff,87195da51ffffff,7
87195dadeffffff,87194aca4ffffff,7
87195dadeffffff,87195d371ffffff,3
87195dadeffffff,87195db5bffffff,7
87195dadeffffff,87195d363ffffff,5
87195dadeffffff,87194e6f6ffffff,7
87195dadeffffff,87194ad9cffffff,7
87195dadeffffff,87194ad70ffffff,7
87195dadeffffff,87195dac9ffffff,7
87195dadeffffff,87195db59ffffff,5
87195dadeffffff,87195dacdffffff,7
87195dadeffffff,87194ad21ffffff,12
87195dadeffffff,87195d345ffffff,2
87195dadeffffff,87194e6adffffff,7
87195dadeffffff,87195da54ffffff,7
87195dadeffffff,87195d344ffffff,3
87195dadeffffff,87194ac03ffffff,4
87195dadeffffff,87194e6daffffff,6
87195dadeffffff,87194ad63ffffff,3
87195dadeffffff,87194ad36ffffff,8
87195dadeffffff,87194adb6ffffff,7
87195dadeffffff,87194e68effffff,7
87195dadeffffff,87194ad26ffffff,7
87195dadeffffff,87194ad29ffffff,7
87195dadeffffff,87194ac10ffffff,4
87195dadeffffff,87195da4effffff,4
87195dadeffffff,87194adb1ffffff,6
87195dadeffffff,87195daf2ffffff,3
87195dadeffffff,87194e61affffff,5
87195dadeffffff,87194e6e4ffffff,5
87195dadeffffff,87194e6d4ffffff,6
87195dadeffffff,87195d375ffffff,4
87195dadeffffff,87194ad33ffffff,4
87195dadeffffff,87194ad92ffffff,7
87195dadeffffff,87194ad75ffffff,13
87195dadeffffff,87194e615ffffff,4
87195dadeffffff,87194ad80ffffff,3
87195dadeffffff,87194e6dcffffff,7
87195dadeffffff,87194ac21ffffff,7
87195dadeffffff,87194e6d1ffffff,7
87195dadeffffff,87195da4bffffff,4
87195dadeffffff,87194e6ddffffff,5
87195dadeffffff,87194e686ffffff,7
87195dadeffffff,87194ac00ffffff,16
87195dadeffffff,87194e60dffffff,3
87195dadeffffff,87194e6b5ffffff,3
87195dadeffffff,87194e69effffff,7
87195dadeffffff,87194ad9dffffff,6
87195dadeffffff,87195da5affffff,12
87195dadeffffff,87194e695ffffff,7
87195dadeffffff,87195daf1ffffff,1
87195dadeffffff,87195db49ffffff,7
87195dadeffffff,87195d362ffffff,6
87195dadeffffff,87194ad01ffffff,7
87195dadeffffff,87195d366ffffff,6
87195dadeffffff,87194adb2ffffff,7
87195dadeffffff,87194e691ffffff,7
87195dadeffffff,87195dac2ffffff,6
87195dadeffffff,87194ad55ffffff,3
87195dadeffffff,87194ac13ffffff,3
87195dadeffffff,87195daddffffff,7
87195dadeffffff,87195dadcffffff,7
87195dadeffffff,87194e681ffffff,7
87195dadeffffff,87194e6f0ffffff,7
87195dadeffffff,87195da71ffffff,5
87195dadeffffff,87195d36cffffff,7
87195dadeffffff,87195d361ffffff,7
87195dadeffffff,87194e6c5ffffff,4
87195dadeffffff,87195da5cffffff,7
87195dadeffffff,87194ad4effffff,3
87195dadeffffff,87194ad98ffffff,4
87195dadeffffff,87194e611ffffff,5
87195dadeffffff,87194e6d8ffffff,6
87195dadeffffff,87194e69bffffff,7
87195dadeffffff,87195dae4ffffff,3
87195dadeffffff,87194e61effffff,6
87195dadeffffff,87194ac02ffffff,5
87195dadeffffff,87194ad8affffff,28
87195dadeffffff,87194e6e0ffffff,3
87195dadeffffff,87194e6e3ffffff,3
87195dadeffffff,87195da6dffffff,11
87195dadeffffff,87194ad2effffff,16
87195dadeffffff,87194e6a9ffffff,7
87195dadeffffff,87195daf0ffffff,4
87195dadeffffff,87195da63ffffff,6
87195dadeffffff,87194adaeffffff,23
87195dadeffffff,87194ad51ffffff,5
87195dadeffffff,87194e6c0ffffff,12
87195dadeffffff,87194ad06ffffff,6
87195dadeffffff,87194e698ffffff,7
87195dadeffffff,87194ada1ffffff,3
87195dadeffffff,87194ac1cffffff,3
87195dadeffffff,87194ad86ffffff,7
87195dadeffffff,87194adaaffffff,7
87195dadeffffff,87194e6d3ffffff,6
87195dadeffffff,87194ac31ffffff,7
87195dadeffffff,87195db6bffffff,7
87195dadeffffff,87194ad41ffffff,3
87195dadeffffff,87194ac2cffffff,3
87195dadeffffff,87194e69cffffff,7
87195dadeffffff,87195da6affffff,7
87195dadeffffff,87195da5dffffff,6
87195dadeffffff,87195da59ffffff,7
87195dadeffffff,87194e6f1ffffff,6
87195dadeffffff,87195db4dffffff,7
87195dadeffffff,87195daccffffff,7
87195dadeffffff,87194ad60ffffff,3
87195dadeffffff,87194e6b0ffffff,6
87195dadeffffff,87195dae5ffffff,7
87195dadeffffff,87195dad1ffffff,4
87195dadeffffff,87194ad0bffffff,7
87195dadeffffff,87194ad9affffff,5
87195dadeffffff,87194e6d0ffffff,7
87195dadeffffff,87194ac34ffffff,6
87195dadeffffff,87194ad28ffffff,6
87195dadeffffff,87194e68affffff,7
87195dadeffffff,87194ad2affffff,16
87195dadeffffff,87194e6c4ffffff,13
87195dadeffffff,87194ad5dffffff,3
87195dadeffffff,87194e672ffffff,3
87195dadeffffff,87195da0dffffff,3
87195dadeffffff,87194ad59ffffff,3
87195dadeffffff,87194e6abffffff,7
87195dadeffffff,87194e6dbffffff,14
87195dadeffffff,87195daedffffff,7
87195dadeffffff,87194e699ffffff,6
87195dadeffffff,87194ad5affffff,3
87195dadeffffff,87194ad72ffffff,7
87195dadeffffff,87194ad88ffffff,7
87195dadeffffff,87194ac2effffff,5
87195dadeffffff,87194ad00ffffff,7
87195dadeffffff,87194e606ffffff,3
87195dadeffffff,87194ad02ffffff,7
87195dadeffffff,87194ad9bffffff,3
87195dadeffffff,87194ad84ffffff,7
87195dadeffffff,87195da5bffffff,7
87195dadeffffff,87194e6f2ffffff,6
87195dadeffffff,87194e6c2ffffff,7
87195dadeffffff,87194ad54ffffff,5
87195dadeffffff,87194ada5ffffff,4
87195dadeffffff,87194e616ffffff,2
87195dadeffffff,87194e603ffffff,4
87195dadeffffff,87194aca2ffffff,4
87195dadeffffff,87195da73ffffff,7
87195dadeffffff,87194ad93ffffff,7
87195dadeffffff,87194ac2dffffff,3
87195dadeffffff,87195da55ffffff,7
87195dadeffffff,87194ac16ffffff,4
87195dadeffffff,87194ad19ffffff,7
87195dadeffffff,87194e6b2ffffff,7
87195dadeffffff,87194e602ffffff,7
87195dadeffffff,87194ac85ffffff,3
87195dadeffffff,87194ad16ffffff,5
87195dadeffffff,87195da66ffffff,7
87195dadeffffff,87194ad8effffff,15
87195dadeffffff,87195daecffffff,7
87195dadeffffff,87194ad74ffffff,6
87195dadeffffff,87194adadffffff,6
87195dadeffffff,87194ada8ffffff,7
87195dadeffffff,87194e6a3ffffff,4
87195dadeffffff,87194ac26ffffff,6
87195dadeffffff,87194e688ffffff,7
87195dadeffffff,87194e619ffffff,5
87195dadeffffff,87195db5affffff,2
87195dadeffffff,87194ac2affffff,3
87195dadeffffff,87194ad8bffffff,7
87195dadeffffff,87194e692ffffff,7
87195dadeffffff,87194ad96ffffff,7
87195dadeffffff,87194ad0dffffff,7
87195dadeffffff,87194ad58ffffff,3
87195dadeffffff,87194e685ffffff,7
87195dadeffffff,87195db48ffffff,6
87195dadeffffff,87195db4bffffff,7
87195dadeffffff,87194ad73ffffff,7
87195dadeffffff,87194ad43ffffff,3
87195dadeffffff,87194ad1bffffff,7
87195dadeffffff,87194e6f3ffffff,6
87195dadeffffff,87195da56ffffff,6
87195dadeffffff,87194ad81ffffff,3
87195dadeffffff,87194ad62ffffff,5
87195dadeffffff,87195db43ffffff,3
87195dadeffffff,87194ad44ffffff,5
87195dadeffffff,87194ad23ffffff,7
87195dadeffffff,87194ad24ffffff,6
87195dadeffffff,87195dac1ffffff,7
87195dadeffffff,87194ac33ffffff,7
87195dadeffffff,87194e6a1ffffff,10
87195dadeffffff,87195db5dffffff,3
87195dadeffffff,87194ad45ffffff,4
87195dadeffffff,87194ad42ffffff,3
87195dadeffffff,87195dae8ffffff,7
87195dadeffffff,87195d365ffffff,7
87195dadeffffff,87194e613ffffff,7
87195dadeffffff,87195da4dffffff,3
87195dadeffffff,87194e6e2ffffff,3
87195dadeffffff,87194ad71ffffff,7
87195dadeffffff,87194e604ffffff,2
87195dadeffffff,87194aca6ffffff,4
87195dadeffffff,87194ac84ffffff,3
87195dadeffffff,87194e609ffffff,3
87195dadeffffff,87194ad18ffffff,7
87195dadeffffff,87195dacaffffff,6
87195dadeffffff,87194e6d9ffffff,4
87195dadeffffff,87194e689ffffff,16
87195dadeffffff,87194e61dffffff,7
87195dadeffffff,87195da76ffffff,4
87195dadeffffff,87194ac12ffffff,3
87195dadeffffff,87194ad90ffffff,14
87195dadeffffff,87194ad91ffffff,6
87195dadeffffff,87194ad40ffffff,2
87195dadeffffff,87195daceffffff,6
87195dadeffffff,87195d369ffffff,3
87195dadeffffff,87194ad89ffffff,7
87195dadeffffff,87194ad56ffffff,7
87195dadeffffff,87195da6bffffff,6
87195dadeffffff,87195daebffffff,7
87195da69ffffff,87194ad26ffffff,76
87195da69ffffff,87194e69cffffff,124
87195da69ffffff,87194e615ffffff,1
87195da69ffffff,87194ad0effffff,44
87195da69ffffff,87195dacaffffff,58
87195da69ffffff,87195d362ffffff,4
87195da69ffffff,87194ad41ffffff,1
87195da69ffffff,87194ac04ffffff,17
87195da69ffffff,87195da56ffffff,30
87195da69ffffff,87194ad75ffffff,23
87195da69ffffff,87194ad50ffffff,1
87195da69ffffff,87195db4effffff,1
87195da69ffffff,87194adabffffff,167
87195da69ffffff,87195d360ffffff,10
87195da69ffffff,87194ac12ffffff,1
87195da69ffffff,87194e6daffffff,25
87195da69ffffff,87194ac13ffffff,1
87195da69ffffff,87194e61cffffff,27
87195da69ffffff,87195da4affffff,173
87195da69ffffff,87194e693ffffff,89
87195da69ffffff,87195da72ffffff,1
87195da69ffffff,87194ac0cffffff,0
87195da69ffffff,87194e6d5ffffff,6
87195da69ffffff,87194ad40ffffff,2
87195da69ffffff,87195daebffffff,15
87195da69ffffff,87194adb2ffffff,21
87195da69ffffff,87194ad51ffffff,2
87195da69ffffff,87194e6f1ffffff,4
87195da69ffffff,87194e61affffff,6
87195da69ffffff,87195d36affffff,1
87195da69ffffff,87194ad01ffffff,63
87195da69ffffff,87194ad5cffffff,3
87195da69ffffff,87194e601ffffff,1
87195da69ffffff,87195daf1ffffff,12
87195da69ffffff,87194aca6ffffff,3
87195da69ffffff,87194e619ffffff,4
87195da69ffffff,87194e68affffff,207
87195da69ffffff,87194ad0cffffff,9
87195da69ffffff,87195da48ffffff,137
87195da69ffffff,87194e6e0ffffff,0
87195da69ffffff,87194ac34ffffff,11
87195da69ffffff,87194e69affffff,154
87195da69ffffff,87194adaeffffff,183
87195da69ffffff,87194e6ceffffff,2
87195da69ffffff,87194e68cffffff,254
87195da69ffffff,87194adb1ffffff,56
87195da69ffffff,87194ad80ffffff,2
87195da69ffffff,87194ada3ffffff,99
87195da69ffffff,87195dae2ffffff,3
87195da69ffffff,87195daceffffff,8
87195da69ffffff,87194e611ffffff,4
87195da69ffffff,87194ad11ffffff,160
87195da69ffffff,87195d345ffffff,1
87195da69ffffff,87194ad82ffffff,15
87195da69ffffff,87195db49ffffff,47
87195da69ffffff,87195db4dffffff,19
87195da69ffffff,87194ad83ffffff,3
87195da69ffffff,87195da6affffff,138
87195da69ffffff,87194adb5ffffff,150
87195da69ffffff,87194e6b6ffffff,7
87195da69ffffff,87195db59ffffff,4
87195da69ffffff,87194ac10ffffff,3
87195da69ffffff,87195daeaffffff,24
87195da69ffffff,87194ada5ffffff,170
87195da69ffffff,87194ad59ffffff,1
87195da69ffffff,87194e6d6ffffff,15
87195da69ffffff,87194ad96ffffff,13
87195da69ffffff,87194ad42ffffff,0
87195da69ffffff,87195da41ffffff,34
87195da69ffffff,87195daf2ffffff,1
87195da69ffffff,87194ad43ffffff,1
87195da69ffffff,87194adaaffffff,4
87195da69ffffff,87194ad9affffff,5
87195da69ffffff,87194e680ffffff,73
87195da69ffffff,87195dae0ffffff,6
87195da69ffffff,87194ad70ffffff,14
87195da69ffffff,87194ad8effffff,24
87195da69ffffff,87194ac05ffffff,7
87195da69ffffff,87195da40ffffff,77
87195da69ffffff,87194ad73ffffff,2
87195da69ffffff,87195da4effffff,154
87195da69ffffff,87194ad62ffffff,3
87195da69ffffff,87194ad81ffffff,0
87195da69ffffff,87194ad66ffffff,3
87195da69ffffff,87194ad10ffffff,170
87195da69ffffff,87194ad18ffffff,3
87195da69ffffff,87194ad12ffffff,141
87195da69ffffff,87194ad33ffffff,717
87195da69ffffff,87194e614ffffff,2
87195da69ffffff,87194ad32ffffff,166
87195da69ffffff,87195d371ffffff,2
87195da69ffffff,87194ada6ffffff,712
87195da69ffffff,87194ada1ffffff,163
87195da69ffffff,87194e681ffffff,34
87195da69ffffff,87195d344ffffff,2
87195da69ffffff,87194ac85ffffff,1
87195da69ffffff,87194ad60ffffff,1
87195da69ffffff,87195d375ffffff,2
87195da69ffffff,87195da5affffff,41
87195da69ffffff,87194e692ffffff,75
87195da69ffffff,87194e6b3ffffff,16
87195da69ffffff,87194adb4ffffff,58
87195da69ffffff,87195da66ffffff,14
87195da69ffffff,87194ad09ffffff,8
87195da69ffffff,87194adb0ffffff,103
87195da69ffffff,87194ac15ffffff,3
87195da69ffffff,87194e68dffffff,48
87195da69ffffff,87194e6e2ffffff,0
87195da69ffffff,87195dac0ffffff,33
87195da69ffffff,87195da51ffffff,29
87195da69ffffff,87194ad2bffffff,8
87195da69ffffff,87194e6dcffffff,26
87195da69ffffff,87194ad90ffffff,147
87195da69ffffff,87195da6bffffff,629
87195da69ffffff,87194e6a1ffffff,6
87195da69ffffff,87195db4cffffff,2
87195da69ffffff,87195da74ffffff,31
87195da69ffffff,87194e6d8ffffff,5
87195da69ffffff,87194e6c0ffffff,18
87195da69ffffff,87194e696ffffff,40
87195da69ffffff,87195da70ffffff,2
87195da69ffffff,87195dac2ffffff,5
87195da69ffffff,87194e6aeffffff,7
87195da69ffffff,87194ad1effffff,83
87195da69ffffff,87195db69ffffff,2
87195da69ffffff,87195dac1ffffff,10
87195da69ffffff,87194e6a9ffffff,31
87195da69ffffff,87195da0bffffff,2
87195da69ffffff,87195da89ffffff,1
87195da69ffffff,87195dac8ffffff,35
87195da69ffffff,87194e672ffffff,1
87195da69ffffff,87194ac14ffffff,85
87195da69ffffff,87194e633ffffff,1
87195da69ffffff,87194ac26ffffff,467
87195da69ffffff,87194ad20ffffff,14
87195da69ffffff,87195dac6ffffff,3
87195da69ffffff,87194ac33ffffff,39
87195da69ffffff,87194e6c5ffffff,2
87195da69ffffff,87194ad2cffffff,20
87195da69ffffff,87195daecffffff,62
87195da69ffffff,87195d368ffffff,2
87195da69ffffff,87194ada4ffffff,173
87195da69ffffff,87195db5cffffff,2
87195da69ffffff,87195dadcffffff,21
87195da69ffffff,87195da45ffffff,30
87195da69ffffff,87194e6f5ffffff,21
87195da69ffffff,87195da61ffffff,25
87195da69ffffff,87194ac28ffffff,1
87195da69ffffff,87195db5affffff,1
87195da69ffffff,87194ac31ffffff,53
87195da69ffffff,87194e688ffffff,28
87195da69ffffff,87194e690ffffff,33
87195da69ffffff,87194e69effffff,20
87195da69ffffff,87194e60bffffff,1
87195da69ffffff,87195db4affffff,3
87195da69ffffff,87195da6dffffff,449
87195da69ffffff,87194ac2cffffff,1
87195da69ffffff,87194e684ffffff,9
87195da69ffffff,87194adb3ffffff,41
87195da69ffffff,87194e6f2ffffff,9
87195da69ffffff,87195daf0ffffff,2
87195da69ffffff,87195da43ffffff,66
87195da69ffffff,87194ac23ffffff,5
87195da69ffffff,87194ad04ffffff,153
87195da69ffffff,87194e6d3ffffff,5
87195da69ffffff,87194e603ffffff,3
87195da69ffffff,87195d361ffffff,11
87195da69ffffff,87194ad71ffffff,23
87195da69ffffff,87195daf3ffffff,2
