ORIGIN_CODE,DESTINATION_CODE,flows
87195d366ffffff,87194aca5ffffff,1
87195d366ffffff,87195dacbffffff,3
87195d366ffffff,87194ada4ffffff,9
87195d366ffffff,87194ad26ffffff,8
87195d366ffffff,87195d344ffffff,1
87195d366ffffff,87195dae8ffffff,3
87195d366ffffff,87194ad34ffffff,10
87195d366ffffff,87194e604ffffff,1
87195d366ffffff,87194ac21ffffff,3
87195d366ffffff,87194e6c5ffffff,1
87195d366ffffff,87194ad55ffffff,1
87195d366ffffff,87194ad5effffff,2
87195d366ffffff,87194ad99ffffff,7
87195d366ffffff,87194e6d5ffffff,1
87195d366ffffff,87194ac10ffffff,2
87195d366ffffff,87195daf3ffffff,1
87195d366ffffff,87194ac1cffffff,1
87195d366ffffff,87194ad75ffffff,3
87195d366ffffff,87194ad21ffffff,4
87195d366ffffff,87194ad5dffffff,1
87195d366ffffff,87194ad96ffffff,4
87195d366ffffff,87194e61cffffff,3
87195d366ffffff,87194adb6ffffff,4
87195d366ffffff,87194ac13ffffff,1
87195d366ffffff,87194ad8dffffff,3
87195d366ffffff,87195da46ffffff,3
87195d366ffffff,87194ac04ffffff,3
87195d366ffffff,87194ada6ffffff,5
87195d366ffffff,87194e60affffff,3
87195d366ffffff,87194ad62ffffff,2
87195d366ffffff,87194e68effffff,4
87195d366ffffff,87194e6aeffffff,2
87195d366ffffff,87195dac2ffffff,3
87195d366ffffff,87194aca2ffffff,1
87195d366ffffff,87194e614ffffff,1
87195d366ffffff,87194ad22ffffff,8
87195d366ffffff,87194e61bffffff,3
87195d366ffffff,87195db43ffffff,1
87195d366ffffff,87194ad85ffffff,2
87195d366ffffff,87194e6d4ffffff,2
87195d366ffffff,87195da5cffffff,4
87195d366ffffff,87194ad19ffffff,4
87195d366ffffff,87194ac2effffff,2
87195d366ffffff,87194e6a3ffffff,1
87195d366ffffff,87194e693ffffff,5
87195d366ffffff,87195db5bffffff,4
87195d366ffffff,87195daddffffff,3
87195d366ffffff,87194ad00ffffff,4
87195d366ffffff,87194ada2ffffff,5
87195d366ffffff,87194ad84ffffff,4
87195d366ffffff,87194ac26ffffff,7
87195d366ffffff,87195dad9ffffff,7
87195d366ffffff,87194ad1cffffff,4
87195d366ffffff,87195da62ffffff,5
87195d366ffffff,87194ad9effffff,4
87195d366ffffff,87194ad44ffffff,2
87195d366ffffff,87195da49ffffff,27
87195d366ffffff,87194ad2bffffff,3
87195d366ffffff,87194e633ffffff,1
87195d366ffffff,87194e6a1ffffff,3
87195d366ffffff,87195dae6ffffff,1
87195d366ffffff,87194ad0cffffff,3
87195d366ffffff,87195dad0ffffff,1
87195d366ffffff,87194ad08ffffff,6
87195d366ffffff,87194ad72ffffff,3
87195d366ffffff,87195da51ffffff,3
87195d366ffffff,87194ad0affffff,4
87195d366ffffff,87194e68cffffff,6
87195d366ffffff,87195d345ffffff,1
87195d366ffffff,87195da69ffffff,7
87195d366ffffff,87194e680ffffff,4
87195d366ffffff,87194e61affffff,3
87195d366ffffff,87195da89ffffff,1
87195d366ffffff,87195dac1ffffff,3
87195d366ffffff,87194ad66ffffff,2
87195d366ffffff,87194e69dffffff,5
87195d366ffffff,87195da58ffffff,5
87195d366ffffff,87195da70ffffff,1
87195d366ffffff,87194ada1ffffff,8
87195d366ffffff,87194ad8effffff,3
87195d366ffffff,87194ad8bffffff,2
87195d366ffffff,87195da5affffff,4
87195d366ffffff,87194ada0ffffff,8
87195d366ffffff,87194e6d3ffffff,2
87195d366ffffff,87195d363ffffff,5
87195d366ffffff,87194ac00ffffff,3
87195d366ffffff,87194ac35ffffff,4
87195d366ffffff,87194ad03ffffff,4
87195d366ffffff,87194ad35ffffff,8
87195d366ffffff,87194ad12ffffff,5
87195d366ffffff,87194ad0dffffff,5
87195d366ffffff,87195d371ffffff,1
87195d366ffffff,87195dac0ffffff,4
87195d366ffffff,87194e682ffffff,3
87195d366ffffff,87194e6c4ffffff,2
87195d366ffffff,87195da52ffffff,6
87195d366ffffff,87195da59ffffff,4
87195d366ffffff,87195da0bffffff,2
87195d366ffffff,87194adb1ffffff,4
87195d366ffffff,87194e692ffffff,4
87195d366ffffff,87194e6a9ffffff,4
87195d366ffffff,87194e69affffff,6
87195d366ffffff,87194ad98ffffff,4
87195d366ffffff,87194e69cffffff,5
87195d366ffffff,87194ad16ffffff,13
87195d366ffffff,87194e61dffffff,3
87195d366ffffff,87195da60ffffff,4
87195d366ffffff,87194ada3ffffff,4
87195d366ffffff,87195da09ffffff,1
87195d366ffffff,87194adabffffff,6
87195d366ffffff,87194ad33ffffff,10
87195d366ffffff,87194ad89ffffff,4
87195d366ffffff,87195da6bffffff,7
87195d366ffffff,87194e609ffffff,1
87195d366ffffff,87194ad45ffffff,1
