_index,all
87194ac00ffffff,259
87194ac01ffffff,105
87194ac02ffffff,65
87194ac03ffffff,65
87194ac04ffffff,265
87194ac05ffffff,114
87194ac06ffffff,84
87194ac0cffffff,5
87194ac0effffff,15
87194ac10ffffff,68
87194ac12ffffff,0
87194ac13ffffff,0
87194ac14ffffff,558
87194ac15ffffff,72
87194ac16ffffff,43
87194ac1cffffff,1
87194ac20ffffff,112
87194ac21ffffff,201
87194ac22ffffff,536
87194ac23ffffff,183
87194ac24ffffff,296
87194ac25ffffff,124
87194ac26ffffff,943
87194ac28ffffff,0
87194ac2affffff,28
87194ac2cffffff,3
87194ac2dffffff,0
87194ac2effffff,82
87194ac30ffffff,273
87194ac31ffffff,415
87194ac32ffffff,305
87194ac33ffffff,339
87194ac34ffffff,170
87194ac35ffffff,412
87194ac36ffffff,424
87194ac84ffffff,8
87194ac85ffffff,2
87194aca0ffffff,110
87194aca2ffffff,20
87194aca3ffffff,16
87194aca4ffffff,316
87194aca5ffffff,2
87194aca6ffffff,73
87194ad00ffffff,365
87194ad01ffffff,489
87194ad02ffffff,504
87194ad03ffffff,389
87194ad04ffffff,667
87194ad05ffffff,618
87194ad06ffffff,792
87194ad08ffffff,327
87194ad09ffffff,143
87194ad0affffff,369
87194ad0bffffff,201
87194ad0cffffff,212
87194ad0dffffff,656
87194ad0effffff,367
87194ad10ffffff,750
87194ad11ffffff,753
87194ad12ffffff,762
87194ad13ffffff,496
87194ad14ffffff,1159
87194ad15ffffff,735
87194ad16ffffff,1751
87194ad18ffffff,269
87194ad19ffffff,460
87194ad1affffff,438
87194ad1bffffff,473
87194ad1cffffff,424
87194ad1dffffff,478
87194ad1effffff,545
87194ad20ffffff,254
87194ad21ffffff,442
87194ad22ffffff,627
87194ad23ffffff,530
87194ad24ffffff,486
87194ad25ffffff,229
87194ad26ffffff,528
87194ad28ffffff,187
87194ad29ffffff,230
87194ad2affffff,357
87194ad2bffffff,213
87194ad2cffffff,268
87194ad2dffffff,296
87194ad2effffff,385
87194ad30ffffff,2471
87194ad31ffffff,659
87194ad32ffffff,2782
87194ad33ffffff,1187
87194ad34ffffff,1272
87194ad35ffffff,848
87194ad36ffffff,1848
87194ad40ffffff,12
87194ad41ffffff,0
87194ad42ffffff,28
87194ad43ffffff,11
87194ad44ffffff,100
87194ad45ffffff,19
87194ad46ffffff,105
87194ad4effffff,0
87194ad50ffffff,23
87194ad51ffffff,26
87194ad52ffffff,162
87194ad53ffffff,36
87194ad54ffffff,116
87194ad55ffffff,54
87194ad56ffffff,199
87194ad58ffffff,13
87194ad59ffffff,1
87194ad5affffff,6
87194ad5cffffff,48
87194ad5dffffff,5
87194ad5effffff,112
87194ad60ffffff,2
87194ad62ffffff,91
87194ad63ffffff,28
87194ad64ffffff,2
87194ad66ffffff,60
87194ad70ffffff,185
87194ad71ffffff,304
87194ad72ffffff,176
87194ad73ffffff,151
87194ad74ffffff,124
87194ad75ffffff,272
87194ad76ffffff,149
87194ad80ffffff,13
87194ad81ffffff,65
87194ad82ffffff,222
87194ad83ffffff,122
87194ad84ffffff,448
87194ad85ffffff,196
87194ad86ffffff,592
87194ad88ffffff,340
87194ad89ffffff,310
87194ad8affffff,183
87194ad8bffffff,150
87194ad8cffffff,309
87194ad8dffffff,238
87194ad8effffff,259
87194ad90ffffff,582
87194ad91ffffff,468
87194ad92ffffff,211
87194ad93ffffff,247
87194ad94ffffff,240
87194ad95ffffff,365
87194ad96ffffff,310
87194ad98ffffff,56
87194ad99ffffff,351
87194ad9affffff,72
87194ad9bffffff,4
87194ad9cffffff,321
87194ad9dffffff,855
87194ad9effffff,306
87194ada0ffffff,942
87194ada1ffffff,779
87194ada2ffffff,551
87194ada3ffffff,485
87194ada4ffffff,1635
87194ada5ffffff,1220
87194ada6ffffff,808
87194ada8ffffff,453
87194ada9ffffff,596
87194adaaffffff,240
87194adabffffff,644
87194adacffffff,603
87194adadffffff,674
87194adaeffffff,511
87194adb0ffffff,530
87194adb1ffffff,423
87194adb2ffffff,278
87194adb3ffffff,327
87194adb4ffffff,405
87194adb5ffffff,596
87194adb6ffffff,496
87194e600ffffff,49
87194e601ffffff,4
87194e602ffffff,358
87194e603ffffff,56
87194e604ffffff,2
87194e606ffffff,38
87194e608ffffff,39
87194e609ffffff,1
87194e60affffff,136
87194e60bffffff,4
87194e60cffffff,18
87194e60dffffff,18
87194e60effffff,139
87194e610ffffff,31
