_index,all
87194ac00ffffff,268
87194ac01ffffff,133
87194ac02ffffff,94
87194ac03ffffff,85
87194ac04ffffff,272
87194ac05ffffff,142
87194ac06ffffff,88
87194ac0cffffff,5
87194ac0effffff,18
87194ac10ffffff,65
87194ac12ffffff,0
87194ac13ffffff,0
87194ac14ffffff,471
87194ac15ffffff,97
87194ac16ffffff,52
87194ac1cffffff,1
87194ac20ffffff,160
87194ac21ffffff,249
87194ac22ffffff,474
87194ac23ffffff,196
87194ac24ffffff,283
87194ac25ffffff,143
87194ac26ffffff,669
87194ac28ffffff,0
87194ac2affffff,32
87194ac2cffffff,4
87194ac2dffffff,0
87194ac2effffff,69
87194ac30ffffff,306
87194ac31ffffff,370
87194ac32ffffff,313
87194ac33ffffff,336
87194ac34ffffff,201
87194ac35ffffff,352
87194ac36ffffff,464
87194ac84ffffff,7
87194ac85ffffff,4
87194aca0ffffff,129
87194aca2ffffff,20
87194aca3ffffff,19
87194aca4ffffff,260
87194aca5ffffff,2
87194aca6ffffff,76
87194ad00ffffff,359
87194ad01ffffff,441
87194ad02ffffff,437
87194ad03ffffff,374
87194ad04ffffff,528
87194ad05ffffff,528
87194ad06ffffff,553
87194ad08ffffff,351
87194ad09ffffff,194
87194ad0affffff,371
87194ad0bffffff,226
87194ad0cffffff,237
87194ad0dffffff,537
87194ad0effffff,342
87194ad10ffffff,566
87194ad11ffffff,532
87194ad12ffffff,583
87194ad13ffffff,404
87194ad14ffffff,918
87194ad15ffffff,621
87194ad16ffffff,849
87194ad18ffffff,278
87194ad19ffffff,412
87194ad1affffff,381
87194ad1bffffff,397
87194ad1cffffff,376
87194ad1dffffff,426
87194ad1effffff,471
87194ad20ffffff,285
87194ad21ffffff,397
87194ad22ffffff,620
87194ad23ffffff,414
87194ad24ffffff,454
87194ad25ffffff,291
87194ad26ffffff,571
87194ad28ffffff,233
87194ad29ffffff,226
87194ad2affffff,340
87194ad2bffffff,253
87194ad2cffffff,292
87194ad2dffffff,284
87194ad2effffff,367
87194ad30ffffff,1638
87194ad31ffffff,608
87194ad32ffffff,1610
87194ad33ffffff,839
87194ad34ffffff,810
87194ad35ffffff,673
87194ad36ffffff,1291
87194ad40ffffff,13
87194ad41ffffff,0
87194ad42ffffff,46
87194ad43ffffff,24
87194ad44ffffff,130
87194ad45ffffff,34
87194ad46ffffff,129
87194ad4effffff,0
87194ad50ffffff,14
87194ad51ffffff,32
87194ad52ffffff,219
87194ad53ffffff,46
87194ad54ffffff,112
87194ad55ffffff,61
87194ad56ffffff,175
87194ad58ffffff,17
87194ad59ffffff,3
87194ad5affffff,2
87194ad5cffffff,71
87194ad5dffffff,7
87194ad5effffff,114
87194ad60ffffff,3
87194ad62ffffff,126
87194ad63ffffff,28
87194ad64ffffff,5
87194ad66ffffff,79
87194ad70ffffff,199
87194ad71ffffff,299
87194ad72ffffff,173
87194ad73ffffff,161
87194ad74ffffff,128
87194ad75ffffff,267
87194ad76ffffff,199
87194ad80ffffff,20
87194ad81ffffff,96
87194ad82ffffff,206
87194ad83ffffff,141
87194ad84ffffff,357
87194ad85ffffff,205
87194ad86ffffff,457
87194ad88ffffff,293
87194ad89ffffff,277
87194ad8affffff,208
87194ad8bffffff,136
87194ad8cffffff,316
87194ad8dffffff,249
87194ad8effffff,243
87194ad90ffffff,447
87194ad91ffffff,443
87194ad92ffffff,219
87194ad93ffffff,278
