ORIGIN_CODE,DESTINATION_CODE,flows
87194ac05ffffff,87194ac00ffffff,89.0
87194ac05ffffff,87194ac01ffffff,45.0
87194ac05ffffff,87194ac02ffffff,10.0
87194ac05ffffff,87194ac03ffffff,12.0
87194ac05ffffff,87194ac04ffffff,79.0
87194ac05ffffff,87194ac06ffffff,11.0
87194ac05ffffff,87194ac0cffffff,1.0
87194ac05ffffff,87194ac0effffff,2.0
87194ac05ffffff,87194ac10ffffff,2.0
87194ac05ffffff,87194ac12ffffff,0.0
87194ac05ffffff,87194ac13ffffff,0.0
87194ac05ffffff,87194ac14ffffff,16.0
87194ac05ffffff,87194ac15ffffff,6.0
87194ac05ffffff,87194ac16ffffff,1.0
87194ac05ffffff,87194ac1cffffff,0.0
87194ac05ffffff,87194ac20ffffff,16.0
87194ac05ffffff,87194ac21ffffff,33.0
87194ac05ffffff,87194ac22ffffff,54.0
87194ac05ffffff,87194ac23ffffff,65.0
87194ac05ffffff,87194ac24ffffff,14.0
87194ac05ffffff,87194ac25ffffff,9.0
87194ac05ffffff,87194ac26ffffff,37.0
87194ac05ffffff,87194ac28ffffff,0.0
87194ac05ffffff,87194ac2affffff,11.0
87194ac05ffffff,87194ac2cffffff,1.0
87194ac05ffffff,87194ac2dffffff,0.0
87194ac05ffffff,87194ac2effffff,25.0
87194ac05ffffff,87194ac30ffffff,13.0
87194ac05ffffff,87194ac31ffffff,32.0
87194ac05ffffff,87194ac32ffffff,10.0
87194ac05ffffff,87194ac33ffffff,18.0
87194ac05ffffff,87194ac34ffffff,7.0
87194ac05ffffff,87194ac35ffffff,19.0
87194ac05ffffff,87194ac36ffffff,12.0
87194ac05ffffff,87194ac84ffffff,0.0
87194ac05ffffff,87194ac85ffffff,0.0
87194ac05ffffff,87194aca0ffffff,2.0
87194ac05ffffff,87194aca2ffffff,0.0
87194ac05ffffff,87194aca3ffffff,0.0
87194ac05ffffff,87194aca4ffffff,4.0
87194ac05ffffff,87194aca5ffffff,0.0
87194ac05ffffff,87194aca6ffffff,1.0
87194ac05ffffff,87194ad00ffffff,4.0
87194ac05ffffff,87194ad01ffffff,6.0
87194ac05ffffff,87194ad02ffffff,6.0
87194ac05ffffff,87194ad03ffffff,6.0
87194ac05ffffff,87194ad04ffffff,5.0
87194ac05ffffff,87194ad05ffffff,6.0
87194ac05ffffff,87194ad06ffffff,6.0
