,_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,87194ac00ffffff,66.0,2.0,0.0,0.0,27.0,39.0,2.0,12.0,21.0,1.0,15.0,69.0,193.0,24.0,9.0,106.0,2.0,7.0
1,87194ac01ffffff,50.0,0.0,0.0,0.0,12.0,14.0,0.0,2.0,5.0,3.0,2.0,11.0,75.0,6.0,12.0,53.0,1.0,2.0
2,87194ac02ffffff,43.0,1.0,0.0,0.0,4.0,6.0,1.0,0.0,4.0,2.0,2.0,13.0,61.0,11.0,4.0,37.0,0.0,1.0
3,87194ac03ffffff,32.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,7.0,21.0,5.0,16.0,34.0,3.0,0.0
4,87194ac04ffffff,55.0,1.0,0.0,1.0,24.0,55.0,3.0,16.0,18.0,8.0,9.0,56.0,180.0,31.0,11.0,107.0,2.0,10.0
5,87194ac05ffffff,37.0,2.0,1.0,0.0,6.0,16.0,0.0,2.0,6.0,1.0,2.0,10.0,91.0,11.0,12.0,67.0,0.0,3.0
6,87194ac06ffffff,20.0,0.0,0.0,0.0,7.0,15.0,1.0,0.0,0.0,0.0,0.0,11.0,56.0,6.0,5.0,44.0,0.0,2.0
7,87194ac0cffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,1.0,0.0
8,87194ac0effffff,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,2.0,2.0,7.0,1.0,2.0
9,87194ac10ffffff,9.0,0.0,0.0,0.0,6.0,14.0,1.0,2.0,1.0,0.0,0.0,9.0,43.0,9.0,4.0,34.0,0.0,1.0
10,87194ac12ffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,87194ac13ffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,87194ac14ffffff,61.0,3.0,0.0,0.0,41.0,104.0,5.0,39.0,36.0,19.0,38.0,166.0,437.0,42.0,21.0,192.0,14.0,20.0
13,87194ac15ffffff,25.0,1.0,0.0,0.0,9.0,9.0,0.0,1.0,0.0,0.0,1.0,2.0,58.0,9.0,4.0,42.0,0.0,6.0
14,87194ac16ffffff,10.0,0.0,0.0,0.0,8.0,7.0,1.0,0.0,0.0,1.0,0.0,3.0,22.0,8.0,1.0,23.0,0.0,1.0
15,87194ac1cffffff,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16,87194ac20ffffff,27.0,3.0,0.0,0.0,11.0,18.0,5.0,5.0,0.0,0.0,3.0,2.0,49.0,20.0,5.0,67.0,2.0,7.0
17,87194ac21ffffff,73.0,1.0,0.0,0.0,23.0,36.0,0.0,4.0,10.0,3.0,8.0,30.0,117.0,23.0,8.0,95.0,4.0,5.0
18,87194ac22ffffff,87.0,3.0,0.0,1.0,57.0,78.0,9.0,64.0,57.0,22.0,20.0,153.0,598.0,36.0,27.0,185.0,17.0,19.0
19,87194ac23ffffff,44.0,2.0,0.0,0.0,16.0,31.0,2.0,4.0,14.0,1.0,4.0,39.0,193.0,15.0,6.0,83.0,1.0,7.0
20,87194ac24ffffff,52.0,4.0,0.0,0.0,30.0,49.0,0.0,7.0,41.0,4.0,15.0,74.0,239.0,29.0,15.0,112.0,6.0,10.0
21,87194ac25ffffff,39.0,0.0,1.0,0.0,14.0,12.0,1.0,10.0,8.0,3.0,2.0,24.0,118.0,12.0,13.0,56.0,2.0,3.0
22,87194ac26ffffff,107.0,12.0,0.0,0.0,89.0,100.0,12.0,51.0,131.0,25.0,61.0,410.0,846.0,56.0,29.0,246.0,27.0,42.0
23,87194ac28ffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,87194ac2affffff,10.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,20.0,2.0,4.0,14.0,0.0,0.0
25,87194ac2cffffff,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0
26,87194ac2dffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,87194ac2effffff,18.0,0.0,0.0,0.0,9.0,8.0,0.0,6.0,9.0,1.0,5.0,30.0,90.0,12.0,4.0,29.0,1.0,1.0
